timestamp,load,p99_latency
1697998862.974932, 1,10724.323034286499
1697998903.705167, 2,13809.720039367676
1697998947.5221891, 5,34370.35322189331
1697999011.89989, 8,51995.60618400574
1697999093.927841, 12,85359.6670627594
1697999209.299166, 8,51708.982944488525
1697999291.012588, 4,20761.396884918213
